    590 [2022-05-30 17:05:08]  132Bytes	24-31-54-62-92-32	a8-7e-ea-e9-35-63		ipv4				192.168.43.1		192.168.43.233 		   53	 52768  		DNS响应 CNAME 域名sp1.baidu.com的CNAME是www.a.shifen.com
    590 [2022-05-30 17:05:08]  132Bytes	24-31-54-62-92-32	a8-7e-ea-e9-35-63		ipv4				192.168.43.1		192.168.43.233 		   53	 52768  		DNS响应 Host Address  域名www.a.shifen.com的IP地址是220.181.38.150
    590 [2022-05-30 17:05:08]  132Bytes	24-31-54-62-92-32	a8-7e-ea-e9-35-63		ipv4				192.168.43.1		192.168.43.233 		   53	 52768  		DNS响应 Host Address  域名www.a.shifen.com的IP地址是220.181.38.149
    591 [2022-05-30 17:05:08]  100Bytes	24-31-54-62-92-32	a8-7e-ea-e9-35-63		ipv4				192.168.43.1		192.168.43.233 		   53	 56606  		DNS响应 CNAME 域名sp2.baidu.com的CNAME是www.a.shifen.com
    592 [2022-05-30 17:05:08]  110Bytes	24-31-54-62-92-32	a8-7e-ea-e9-35-63		ipv4				192.168.43.1		192.168.43.233 		   53	 58389  		DNS响应 CNAME 域名ss1.bdstatic.com的CNAME是sslbdstatic.jomodns.com
    593 [2022-05-30 17:05:08]  100Bytes	24-31-54-62-92-32	a8-7e-ea-e9-35-63		ipv4				192.168.43.1		192.168.43.233 		   53	 55770  		DNS响应 CNAME 域名sp1.baidu.com的CNAME是www.a.shifen.com
    594 [2022-05-30 17:05:08]  121Bytes	24-31-54-62-92-32	a8-7e-ea-e9-35-63		ipv4				192.168.43.1		192.168.43.233 		   53	 61741  		DNS响应 CNAME 域名stats.g.doubleclick.net的CNAME是stats.l.doubleclick.net
    594 [2022-05-30 17:05:08]  121Bytes	24-31-54-62-92-32	a8-7e-ea-e9-35-63		ipv4				192.168.43.1		192.168.43.233 		   53	 61741  		DNS响应 Host Address  域名stats.l.doubleclick.net的IP地址是220.181.174.230
    595 [2022-05-30 17:05:08]  110Bytes	24-31-54-62-92-32	a8-7e-ea-e9-35-63		ipv4				192.168.43.1		192.168.43.233 		   53	 49360  		DNS响应 Host Address  域名boss.cnwangjie.com的IP地址是172.67.143.191
    595 [2022-05-30 17:05:08]  110Bytes	24-31-54-62-92-32	a8-7e-ea-e9-35-63		ipv4				192.168.43.1		192.168.43.233 		   53	 49360  		DNS响应 Host Address  域名boss.cnwangjie.com的IP地址是104.21.54.251
    612 [2022-05-30 17:05:08]  188Bytes	24-31-54-62-92-32	a8-7e-ea-e9-35-63		ipv4				192.168.43.1		192.168.43.233 		   53	 53937  		DNS响应 CNAME 域名hectorstatic.baidu.com的CNAME是hectorstatic.baidu.com.a.bdydns.com
    612 [2022-05-30 17:05:08]  188Bytes	24-31-54-62-92-32	a8-7e-ea-e9-35-63		ipv4				192.168.43.1		192.168.43.233 		   53	 53937  		DNS响应 CNAME 域名hectorstatic.baidu.com.a.bdydns.com的CNAME是opencdnbd.jomodns.com
    614 [2022-05-30 17:05:08]  176Bytes	24-31-54-62-92-32	a8-7e-ea-e9-35-63		ipv4				192.168.43.1		192.168.43.233 		   53	 51664  		DNS响应 CNAME 域名hectorstatic.baidu.com的CNAME是hectorstatic.baidu.com.a.bdydns.com
    614 [2022-05-30 17:05:08]  176Bytes	24-31-54-62-92-32	a8-7e-ea-e9-35-63		ipv4				192.168.43.1		192.168.43.233 		   53	 51664  		DNS响应 CNAME 域名hectorstatic.baidu.com.a.bdydns.com的CNAME是opencdnbd.jomodns.com
    614 [2022-05-30 17:05:08]  176Bytes	24-31-54-62-92-32	a8-7e-ea-e9-35-63		ipv4				192.168.43.1		192.168.43.233 		   53	 51664  		DNS响应 Host Address  域名opencdnbd.jomodns.com的IP地址是125.74.42.38
   1049 [2022-05-30 17:05:08]  76Bytes	a8-7e-ea-e9-35-63	24-31-54-62-92-32		ipv4				192.168.43.233		192.168.43.1 		59594	 53  		DNS请求 Host Address  查询hector.baidu.com的地址
